file,min_sup,min_conf,
1,0.010471204188481676,(Boulevard Brewing Co.+Tank 7 Farmhouse Ale),
1,0.013089005235602094,(Firestone Walker Brewing Company+Agrestic),
1,0.010471204188481676,(Lagunitas Brewing Company+Imperial Red Ale),
1,0.013089005235602094,(The Lost Abbey+10 Commandments),
1,0.013089005235602094,(Anheuser-Busch+Bud Light),
1,0.013089005235602094,(Firestone Walker Brewing Company+Double Jack),
1,0.013089005235602094,(Coronado Brewing Company+Idiot IPA),
1,0.015706806282722512,(Dogfish Head Craft Brewery+Punkin Ale),
1,0.010471204188481676,(Mother Earth Brew Co. (California)+Boo Koo),
1,0.013089005235602094,(Green Flash Brewing Co.+Citra Session IPA),
1,0.010471204188481676,(Port Brewing Company+Mongo Double IPA),
1,0.013089005235602094,(The Lost Abbey+Serpent's Stout),
1,0.010471204188481676,(Port Brewing Company+Old Viscosity),
1,0.010471204188481676,(The Lost Abbey+Judgment Day),
1,0.01832460732984293,(Coors Brewing Company+Coors Light),
1,0.010471204188481676,(Brewery Ommegang+Three Philosophers),
1,0.015706806282722512,(Stone Brewing Co.+Stone Go To IPA),
1,0.013089005235602094,(Firestone Walker Brewing Company+Wookey Jack),
1,0.013089005235602094,(Boulder Beer Company+Shake Chocolate Porter),
1,0.010471204188481676,(Russian River Brewing Company+Damnation),
1,0.010471204188481676,(Brewery Ommegang+Hennepin Farmhouse Saison),
1,0.01832460732984293,(Bang The Drum Brewery+King Maté),
1,0.010471204188481676,(Green Flash Brewing Co.+West Coast IPA (-2013 Retired)),
1,0.010471204188481676,(Grupo Modelo S.A. de C.V.+Modelo Especial),
1,0.01832460732984293,(Stone Brewing Co.+Pale Ale 2.0),
1,0.013089005235602094,(Sierra Nevada Brewing Co.+Hoptimum),
1,0.010471204188481676,(Modern Times Beer+Blazing World),
1,0.010471204188481676,(Mission Brewery+Carrack),
1,0.013089005235602094,(New Belgium Brewing Company+Snapshot),
1,0.010471204188481676,(Sierra Nevada Brewing Co.+Nooner Pilsner),
1,0.010471204188481676,(Stone Brewing Co.+Old Guardian Barley Wine - Extra Hoppy (2015)),
1,0.013089005235602094,(Tap It Brewing Co+Continuum),
1,0.013089005235602094,(Stone Brewing Co.+Delicious IPA),
1,0.010471204188481676,(Grupo Modelo S.A. de C.V.+Pacifico Clara),
1,0.010471204188481676,(Blue Moon Brewing Company+Belgian White),
1,0.010471204188481676,(Carlsberg Group+Carlsberg),
1,0.015706806282722512,(Lagunitas Brewing Company+Hop Stoopid),
1,0.013089005235602094,(Saint Archer Brewing Company+White Ale),
1,0.010471204188481676,(Saint Archer Brewing Company+Blonde Ale),
1,0.010471204188481676,(Modern Times Beer+Fortunate Islands),
1,0.010471204188481676,(Lagunitas Brewing Company+Equinox),
1,0.010471204188481676,(Boston Beer Company (Samuel Adams)+Samuel Adams Rebel IPA),
1,0.013089005235602094,(Drake's Brewing Company+Denogginizer),
1,0.010471204188481676,(Sierra Nevada Brewing Co.+Blindfold),
1,0.015706806282722512,(Central Coast Brewing+Catch 23),
1,0.020942408376963352,(Central Coast Brewing+Lucky Day IPA),
1,0.013089005235602094,(Bang The Drum Brewery+Das Weiss),
1,0.013089005235602094,(New Belgium Brewing Company+Cocoa Mole (Lips of Faith)),
1,0.010471204188481676,(Firestone Walker Brewing Company+Bretta Weisse),
1,0.020942408376963352,(Bang The Drum Brewery+Nebula),
1,0.02356020942408377,(Bang The Drum Brewery+Draca),
1,0.010471204188481676,(Stone Brewing Co.+Sorry Not Sorry IPA),
1,0.013089005235602094,(Central Coast Brewing+The Original Chai Ale),
1,0.013089005235602094,(Heretic Brewing Company+Hibiscus Agony),
1,0.010471204188481676,(Central Coast Brewing+Stop Collaborate & Listen),
1,0.020942408376963352,(Central Coast Brewing+Monterey Street),
1,0.010471204188481676,(Hollister Brewing Company+Tiny Bubbles),
1,0.010471204188481676,(Tioga-Sequoia Brewing Co.+General Sherman IPA),
1,0.010471204188481676,(The Dudes' Brewing Company+Double Trunk DIPA),
1,0.015706806282722512,(Anchor Brewing Company+Merry Christmas & Happy New Year (Our Special Ale) (2015)),
2,0.010471204188481676,(Lagunitas Brewing Company+IPA)-(Central Coast Brewing+Raspberry A La Tart),
2,0.010471204188481676,(Green Flash Brewing Co.+Green Bullet)-(Firestone Walker Brewing Company+Opal),
2,0.013089005235602094,(Green Flash Brewing Co.+Road Warrior)-(Firestone Walker Brewing Company+Opal),
2,0.010471204188481676,(Dogfish Head Craft Brewery+90 Minute IPA)-(Stone Brewing Co.+18th Anniversary IPA),
2,0.015706806282722512,(Lagunitas Brewing Company+IPA)-(Bear Republic Brewing Co.+Racer 5 IPA®),
2,0.010471204188481676,(Lagunitas Brewing Company+IPA)-(Sierra Nevada Brewing Co.+Pale Ale),
2,0.013089005235602094,(Lagunitas Brewing Company+IPA)-(Firestone Walker Brewing Company+Velvet Merlin),
2,0.010471204188481676,(Lagunitas Brewing Company+IPA)-(New Belgium Brewing Company+Salted Caramel Brownie Brown Ale),
2,0.010471204188481676,(Lagunitas Brewing Company+IPA)-(Boulevard Brewing Co.+Tank 7 Farmhouse Ale),
2,0.010471204188481676,(Figueroa Mountain Brewing Co.+Lizard's Mouth)-(Stone Brewing Co.+Stochasticity Project: Master of Disguise),
2,0.010471204188481676,(Figueroa Mountain Brewing Co.+Lizard's Mouth)-(Deschutes Brewery+Black Butte XXV),
2,0.010471204188481676,(Firestone Walker Brewing Company+805 Blonde)-(Belching Beaver+Peanut Butter Milk Stout),
2,0.010471204188481676,(Firestone Walker Brewing Company+805 Blonde)-(Lagunitas Brewing Company+A Little Sumpin' Sumpin' Ale),
2,0.010471204188481676,(Firestone Walker Brewing Company+805 Blonde)-(New Belgium Brewing Company+Rampant),
2,0.010471204188481676,(Firestone Walker Brewing Company+805 Blonde)-(Figueroa Mountain Brewing Co.+Danish Red Lager),
2,0.010471204188481676,(Firestone Walker Brewing Company+805 Blonde)-(Green Flash Brewing Co.+Road Warrior),
2,0.010471204188481676,(Firestone Walker Brewing Company+805 Blonde)-(Stone Brewing Co.+Stone Go To IPA),
2,0.010471204188481676,(Sierra Nevada Brewing Co.+Pale Ale)-(Arrogant Bastard Brewing Co.+Arrogant Bastard Ale),
2,0.010471204188481676,(Firestone Walker Brewing Company+DBA (Double Barrel Ale))-(Firestone Walker Brewing Company+Pale 31),
2,0.010471204188481676,(Firestone Walker Brewing Company+DBA (Double Barrel Ale))-(Rogue Ales & Spirits+Dead Guy Ale),
2,0.010471204188481676,(Ballast Point Brewing & Spirits+Grapefruit Sculpin)-(Lagunitas Brewing Company+Brown Shugga'),
2,0.010471204188481676,(Lagunitas Brewing Company+Brown Shugga')-(Stone Brewing Co.+18th Anniversary IPA),
2,0.010471204188481676,(Brouwerij St. Bernardus+St. Bernardus Abt 12)-(Dogfish Head Craft Brewery+60 Minute IPA),
2,0.010471204188481676,(Stone Brewing Co.+Ruination Double IPA 2.0)-(Green Flash Brewing Co.+Green Bullet),
2,0.010471204188481676,(The Lost Abbey+Lost & Found Abbey Ale)-(The Lost Abbey+Gift of the Magi),
2,0.010471204188481676,(Belching Beaver+Peanut Butter Milk Stout)-(Mother Earth Brew Co. (California)+Cali' Creamin'),
2,0.013089005235602094,(Lagunitas Brewing Company+Lagunitas Sucks)-(Ballast Point Brewing & Spirits+Grapefruit Sculpin),
2,0.010471204188481676,(Lagunitas Brewing Company+Lagunitas Sucks)-(The Bruery+Tart of Darkness (2014)),
2,0.010471204188481676,(Stone Brewing Co.+Japanese Green Tea IPA (Second Edition))-(Green Flash Brewing Co.+West Coast IPA (2014)),
2,0.010471204188481676,(Stone Brewing Co.+Stone Enjoy By 02.14.15 IPA)-(Lagunitas Brewing Company+Night Time Ale),
2,0.010471204188481676,(Deschutes Brewery+Black Butte XXV)-(Stone Brewing Co.+Stone Enjoy By 02.14.15 IPA),
2,0.010471204188481676,(Green Flash Brewing Co.+Road Warrior)-(Stone Brewing Co.+Stone Enjoy By 02.14.15 IPA),
2,0.010471204188481676,(Deschutes Brewery+The Abyss (2013))-(Ballast Point Brewing & Spirits+Victory at Sea),
2,0.013089005235602094,(Stone Brewing Co.+Stochasticity Project: Master of Disguise)-(Ballast Point Brewing & Spirits+Sculpin IPA),
2,0.010471204188481676,(Allagash Brewing Company+White)-(Plzeňský Prazdroj+Pilsner Urquell),
2,0.010471204188481676,(Ballast Point Brewing & Spirits+Grapefruit Sculpin)-(Ballast Point Brewing & Spirits+Victory at Sea),
2,0.010471204188481676,(Belching Beaver+Peanut Butter Milk Stout)-(North Coast Brewing Company+Pranqster),
2,0.010471204188481676,(Firestone Walker Brewing Company+Velvet Merlin)-(Deschutes Brewery+Fresh Squeezed IPA),
2,0.010471204188481676,(Figueroa Mountain Brewing Co.+Hurricane Deck)-(Belching Beaver+Peanut Butter Milk Stout),
2,0.010471204188481676,(Ballast Point Brewing & Spirits+Grapefruit Sculpin)-(The Bruery+Tart of Darkness (2014)),
2,0.010471204188481676,(Ballast Point Brewing & Spirits+Sculpin IPA)-(Ballast Point Brewing & Spirits+Grapefruit Sculpin),
2,0.010471204188481676,(Ballast Point Brewing & Spirits+Grapefruit Sculpin)-(Stone Brewing Co.+18th Anniversary IPA),
2,0.010471204188481676,(Ballast Point Brewing & Spirits+Grapefruit Sculpin)-(New Belgium Brewing Company+Cocoa Mole (Lips of Faith)),
2,0.010471204188481676,(Firestone Walker Brewing Company+Velvet Merlin)-(Firestone Walker Brewing Company+Velvet Mocha Merlin),
2,0.010471204188481676,(Green Flash Brewing Co.+West Coast IPA (2014))-(Firestone Walker Brewing Company+Velvet Merlin),
2,0.013089005235602094,(Firestone Walker Brewing Company+Velvet Merlin)-(Knee Deep Brewing Company+Hoptologist DIPA),
2,0.010471204188481676,(Lagunitas Brewing Company+Imperial Red Ale)-(Firestone Walker Brewing Company+Velvet Merlin),
2,0.010471204188481676,(Firestone Walker Brewing Company+Velvet Merlin)-(Firestone Walker Brewing Company+Wookey Jack),
2,0.010471204188481676,(Anchor Brewing Company+Anchor Steam Beer)-(Plzeňský Prazdroj+Pilsner Urquell),
2,0.010471204188481676,(Boston Beer Company (Samuel Adams)+Samuel Adams OctoberFest)-(Stella Artois+Stella Artois),
2,0.010471204188481676,(Green Flash Brewing Co.+Road Warrior)-(Asahi Breweries+Asahi Super Dry),
support,confidence,antecedent,consequent
0.010,0.800,(New Belgium Brewing Company+Cocoa Mole (Lips of Faith)),(Ballast Point Brewing & Spirits+Grapefruit Sculpin)
0.010,0.667,(New Belgium Brewing Company+Salted Caramel Brownie Brown Ale),(Lagunitas Brewing Company+IPA)
0.013,1.000,(Knee Deep Brewing Company+Hoptologist DIPA),(Firestone Walker Brewing Company+Velvet Merlin)
0.010,0.667,(New Belgium Brewing Company+Rampant),(Firestone Walker Brewing Company+805 Blonde)
0.010,0.500,(Lagunitas Brewing Company+A Little Sumpin' Sumpin' Ale),(Firestone Walker Brewing Company+805 Blonde)
0.010,1.000,(Deschutes Brewery+The Abyss (2013)),(Ballast Point Brewing & Spirits+Victory at Sea)
0.013,0.833,(Stone Brewing Co.+Stochasticity Project: Master of Disguise),(Ballast Point Brewing & Spirits+Sculpin IPA)
0.010,1.000,(Rogue Ales & Spirits+Dead Guy Ale),(Firestone Walker Brewing Company+DBA (Double Barrel Ale))
0.010,0.500,(Stone Brewing Co.+Ruination Double IPA 2.0),(Green Flash Brewing Co.+Green Bullet)
0.010,0.667,(Plzeňský Prazdroj+Pilsner Urquell),(Allagash Brewing Company+White)
0.010,0.571,(Stone Brewing Co.+Stone Enjoy By 02.14.15 IPA),(Deschutes Brewery+Black Butte XXV)
0.010,0.800,(Deschutes Brewery+Black Butte XXV),(Stone Brewing Co.+Stone Enjoy By 02.14.15 IPA)
0.010,0.667,(Deschutes Brewery+Fresh Squeezed IPA),(Firestone Walker Brewing Company+Velvet Merlin)
0.010,0.571,(Figueroa Mountain Brewing Co.+Hurricane Deck),(Belching Beaver+Peanut Butter Milk Stout)
0.010,0.571,(Stone Brewing Co.+18th Anniversary IPA),(Dogfish Head Craft Brewery+90 Minute IPA)
0.010,0.571,(Green Flash Brewing Co.+West Coast IPA (2014)),(Firestone Walker Brewing Company+Velvet Merlin)
0.010,0.800,(Firestone Walker Brewing Company+Wookey Jack),(Firestone Walker Brewing Company+Velvet Merlin)
0.010,1.000,(Lagunitas Brewing Company+Imperial Red Ale),(Firestone Walker Brewing Company+Velvet Merlin)
0.010,0.500,(Lagunitas Brewing Company+Brown Shugga'),(Ballast Point Brewing & Spirits+Grapefruit Sculpin)
0.013,0.500,(Firestone Walker Brewing Company+Velvet Merlin),(Knee Deep Brewing Company+Hoptologist DIPA)
0.013,0.500,(Firestone Walker Brewing Company+Velvet Merlin),(Lagunitas Brewing Company+IPA)
0.010,0.667,(Allagash Brewing Company+White),(Plzeňský Prazdroj+Pilsner Urquell)
0.010,1.000,(Arrogant Bastard Brewing Co.+Arrogant Bastard Ale),(Sierra Nevada Brewing Co.+Pale Ale)
0.010,1.000,(Boulevard Brewing Co.+Tank 7 Farmhouse Ale),(Lagunitas Brewing Company+IPA)
0.010,1.000,(Figueroa Mountain Brewing Co.+Danish Red Lager),(Firestone Walker Brewing Company+805 Blonde)
0.010,0.571,(Stone Brewing Co.+18th Anniversary IPA),(Ballast Point Brewing & Spirits+Grapefruit Sculpin)
0.010,0.800,(Dogfish Head Craft Brewery+60 Minute IPA),(Brouwerij St. Bernardus+St. Bernardus Abt 12)
0.010,0.667,(The Bruery+Tart of Darkness (2014)),(Lagunitas Brewing Company+Lagunitas Sucks)
0.010,1.000,(The Lost Abbey+Lost & Found Abbey Ale),(The Lost Abbey+Gift of the Magi)
0.010,0.571,(Lagunitas Brewing Company+Lagunitas Sucks),(The Bruery+Tart of Darkness (2014))
0.010,0.500,(Green Flash Brewing Co.+Green Bullet),(Stone Brewing Co.+Ruination Double IPA 2.0)
0.010,0.667,(Stone Brewing Co.+Stochasticity Project: Master of Disguise),(Figueroa Mountain Brewing Co.+Lizard's Mouth)
0.010,0.571,(Stone Brewing Co.+Stone Enjoy By 02.14.15 IPA),(Lagunitas Brewing Company+Night Time Ale)
0.016,0.667,(Bear Republic Brewing Co.+Racer 5 IPA®),(Lagunitas Brewing Company+IPA)
0.010,0.571,(Stone Brewing Co.+18th Anniversary IPA),(Lagunitas Brewing Company+Brown Shugga')
0.010,0.667,(Ballast Point Brewing & Spirits+Victory at Sea),(Ballast Point Brewing & Spirits+Grapefruit Sculpin)
0.010,0.571,(North Coast Brewing Company+Pranqster),(Belching Beaver+Peanut Butter Milk Stout)
0.010,0.571,(Boston Beer Company (Samuel Adams)+Samuel Adams OctoberFest),(Stella Artois+Stella Artois)
0.010,0.500,(Lagunitas Brewing Company+Brown Shugga'),(Stone Brewing Co.+18th Anniversary IPA)
0.010,0.667,(The Bruery+Tart of Darkness (2014)),(Ballast Point Brewing & Spirits+Grapefruit Sculpin)
0.010,0.571,(Stone Brewing Co.+Stone Enjoy By 02.14.15 IPA),(Green Flash Brewing Co.+Road Warrior)
0.010,0.500,(Anchor Brewing Company+Anchor Steam Beer),(Plzeňský Prazdroj+Pilsner Urquell)
0.010,0.571,(Mother Earth Brew Co. (California)+Cali' Creamin'),(Belching Beaver+Peanut Butter Milk Stout)
0.010,0.667,(Plzeňský Prazdroj+Pilsner Urquell),(Anchor Brewing Company+Anchor Steam Beer)
0.010,0.800,(Deschutes Brewery+Black Butte XXV),(Figueroa Mountain Brewing Co.+Lizard's Mouth)
0.010,0.500,(Firestone Walker Brewing Company+Velvet Mocha Merlin),(Firestone Walker Brewing Company+Velvet Merlin)
0.013,0.556,(Green Flash Brewing Co.+Road Warrior),(Firestone Walker Brewing Company+Opal)
0.010,0.667,(Ballast Point Brewing & Spirits+Victory at Sea),(Deschutes Brewery+The Abyss (2013))
0.013,0.714,(Lagunitas Brewing Company+Lagunitas Sucks),(Ballast Point Brewing & Spirits+Grapefruit Sculpin)
0.010,0.500,(Green Flash Brewing Co.+Green Bullet),(Firestone Walker Brewing Company+Opal)
0.010,0.667,(Firestone Walker Brewing Company+Pale 31),(Firestone Walker Brewing Company+DBA (Double Barrel Ale))
0.010,0.571,(Green Flash Brewing Co.+West Coast IPA (2014)),(Stone Brewing Co.+Japanese Green Tea IPA (Second Edition))
0.010,1.000,(Stone Brewing Co.+Japanese Green Tea IPA (Second Edition)),(Green Flash Brewing Co.+West Coast IPA (2014))
0.010,0.800,(The Lost Abbey+Gift of the Magi),(The Lost Abbey+Lost & Found Abbey Ale)
0.010,0.571,(Lagunitas Brewing Company+Night Time Ale),(Stone Brewing Co.+Stone Enjoy By 02.14.15 IPA)
0.010,0.571,(Asahi Breweries+Asahi Super Dry),(Green Flash Brewing Co.+Road Warrior)
0.010,0.571,(Brouwerij St. Bernardus+St. Bernardus Abt 12),(Dogfish Head Craft Brewery+60 Minute IPA)
0.010,0.800,(Stella Artois+Stella Artois),(Boston Beer Company (Samuel Adams)+Samuel Adams OctoberFest)
0.010,0.667,(Stone Brewing Co.+Stone Go To IPA),(Firestone Walker Brewing Company+805 Blonde)
0.010,0.500,(Central Coast Brewing+Raspberry A La Tart),(Lagunitas Brewing Company+IPA)
